id_cliente,target
33654260,0
93981522,0
41653219,0
44198537,0
36485574,0
31349932,0
59017568,0
53663957,0
47779922,0
93723249,1
50260603,0
71389078,0
65466477,0
41850590,0
74151366,0
71180682,0
33968470,0
84130522,0
48792123,0
89619274,0
36012934,0
71802900,0
63143621,0
64096150,0
68059092,0
75259469,0
90496864,0
93964207,1
88164230,0
93162750,0
50583287,0
92326856,0
45261876,0
59403814,0
51884137,0
66699689,0
93819330,0
61445491,0
58994194,0
43417143,0
93983038,0
85269147,0
43568210,0
51559278,0
62429003,0
56454555,0
37487474,0
40885253,0
93888063,0
31597644,0
93828246,0
40458644,0
73716815,0
55591646,0
54211704,0
55205965,0
93984842,0
41855512,0
53114155,0
43518949,0
55074007,0
31774387,0
32166374,0
60050382,0
38008853,0
37844724,0
58749733,1
78119946,0
34009596,0
93944148,0
66705812,0
58990127,0
33034340,0
73186838,0
59378659,0
46647580,0
32155190,0
69721453,0
70364691,0
41003230,0
55181692,0
60961796,0
79169285,0
32052659,0
86795865,0
83475689,0
65536270,1
52052671,1
77296207,0
47930661,0
83547396,0
37668341,0
91767855,0
64246215,0
90582003,0
33310696,0
51512579,0
90448741,0
77308670,0
62263309,0
93823991,0
93838988,0
93901709,1
93953979,0
37170682,0
50792801,1
55278088,0
36038474,0
72614384,0
70156540,0
77958250,0
37685579,0
36076136,0
93957133,0
93964616,0
40806072,0
50939896,0
54517872,0
84130244,0
40618343,0
74806241,0
36246007,0
41122854,0
93960022,0
75394380,0
48858093,0
59049481,0
49633532,0
68575920,1
40004160,0
49110125,0
59931036,0
84447755,0
53640546,0
60432647,0
38406346,0
51445112,0
77651870,0
62669108,0
46057885,0
37702829,0
34175986,0
42290658,0
78361201,0
93634119,0
65520839,0
64418720,0
65165296,0
93822749,0
66574950,0
77031063,0
73768284,0
61325995,0
46466672,0
60108832,0
60327445,0
68362161,0
50531601,0
73477496,0
61986189,0
85757977,0
39734111,0
55109968,0
73569816,0
89085124,0
32082765,0
93631796,0
88937866,0
93967735,0
42595850,0
78561383,1
62460384,0
70666354,0
93991377,0
71631977,0
74688473,0
50213436,0
66186397,0
78915451,0
37065942,0
78556005,0
93965475,0
88810945,0
93958416,0
78476812,0
65131913,0
37863528,0
55216734,0
50677089,0
51152935,0
65771078,0
93833723,0
45986595,0
70811261,0
52638678,0
92973548,0
60013772,0
61233085,0
38575948,1
59037424,0
34356763,0
39257776,0
74924268,0
93887459,0
93900579,0
76750992,0
66044146,0
57779504,0
74557577,0
39281446,1
65875552,0
92728661,0
93847441,0
93883478,0
43491938,0
77197666,0
54764163,0
41720380,0
